iter	Accuracy	MultiClass
694	0.676300578	1.30978443
695	0.6760864911	1.309045128
696	0.6767287519	1.307786952
697	0.6773710126	1.30686727
698	0.6777991865	1.305961454
699	0.6775850996	1.305254394
700	0.6782273603	1.304377341
701	0.6782273603	1.303506077
702	0.6786555341	1.302444506
703	0.6784414472	1.301265084
704	0.6786555341	1.300673996
705	0.6792977949	1.299478765
706	0.6797259687	1.298675854
707	0.6805823164	1.297567869
708	0.6803682295	1.296779705
709	0.6803682295	1.29578139
710	0.6810104903	1.295395381
711	0.6805823164	1.294982892
712	0.6805823164	1.293946951
713	0.6818668379	1.293109829
714	0.6820809249	1.29192097
715	0.6820809249	1.29075254
716	0.6825090987	1.290221999
717	0.6835795333	1.28925099
718	0.6833654464	1.288550424
719	0.6837936202	1.287422279
720	0.6837936202	1.287085112
721	0.684221794	1.285412999
722	0.684435881	1.284632999
723	0.6848640548	1.28379319
724	0.6850781417	1.282718256
725	0.6865767502	1.281987562
726	0.6863626632	1.281067014
727	0.687004924	1.280067646
728	0.6867908371	1.278717606
729	0.6876471848	1.277358355
730	0.6880753586	1.276539865
731	0.6882894455	1.275729619
732	0.6885035324	1.275203311
733	0.6885035324	1.274319105
734	0.6887176194	1.273697649
735	0.6889317063	1.272976894
736	0.6889317063	1.272466554
737	0.6887176194	1.271965529
738	0.6900021409	1.270504222
739	0.6902162278	1.269156603
740	0.6900021409	1.268278154
741	0.6902162278	1.267238672
742	0.6908584885	1.266150838
743	0.6908584885	1.26582481
744	0.6915007493	1.264819716
745	0.6912866624	1.263864324
746	0.6917148362	1.262587524
747	0.6921430101	1.261627256
748	0.6921430101	1.260673493
749	0.6925711839	1.259487679
750	0.6927852708	1.259163502
751	0.6929993577	1.258439196
752	0.6934275316	1.25759681
753	0.6934275316	1.256692793
754	0.6936416185	1.255871037
755	0.6932134447	1.254383522
756	0.6942838793	1.253335285
757	0.6944979662	1.25252687
758	0.6942838793	1.252129056
759	0.6947120531	1.251467394
760	0.69492614	1.250572092
761	0.6951402269	1.249280471
762	0.69492614	1.248872386
763	0.6951402269	1.248095942
764	0.6955684008	1.247520067
765	0.6951402269	1.246914707
766	0.6957824877	1.245738019
767	0.6970670092	1.244555691
768	0.6968529223	1.244011064
769	0.69770927	1.243193295
770	0.6968529223	1.242592863
771	0.6970670092	1.241932075
772	0.6983515307	1.241316751
773	0.6989937915	1.240607561
774	0.6989937915	1.239346155
775	0.6996360522	1.238552993
776	0.7000642261	1.237837662
777	0.6996360522	1.237183763
778	0.6992078784	1.236547684
779	0.6996360522	1.23584402
780	0.7004923999	1.235142272
781	0.7000642261	1.234174183
782	0.7013487476	1.233202468
783	0.7011346607	1.232296195
784	0.7013487476	1.231985717
785	0.7013487476	1.230954965
786	0.7013487476	1.229863562
787	0.7019910083	1.228850613
788	0.7022050953	1.227842388
789	0.7026332691	1.226921249
790	0.7032755299	1.226082533
791	0.7030614429	1.225692864
792	0.7032755299	1.22476991
793	0.7039177906	1.223892933
794	0.7043459645	1.222948127
795	0.7041318775	1.222409839
796	0.7052023121	1.22141241
797	0.7052023121	1.2208201
798	0.705630486	1.220240442
799	0.7052023121	1.219477574
800	0.7045600514	1.21871273
801	0.7045600514	1.21827317
802	0.7049882252	1.217147336
803	0.7049882252	1.21640883
804	0.7049882252	1.21593803
805	0.7054163991	1.215155812
806	0.7054163991	1.21427958
807	0.7069150075	1.213357475
808	0.7067009206	1.212843709
809	0.7064868337	1.212551393
810	0.7064868337	1.211833385
811	0.7077713552	1.210882956
812	0.7073431813	1.209679316
813	0.7075572683	1.208570062
814	0.708199529	1.207666199
815	0.7088417898	1.206801161
816	0.7086277028	1.205600809
817	0.7090558767	1.204897818
818	0.7086277028	1.204231617
819	0.7084136159	1.203706362
820	0.7094840505	1.20291879
821	0.7090558767	1.202695386
822	0.7096981374	1.202263549
823	0.710768572	1.201262758
824	0.7111967459	1.200922551
825	0.7120530936	1.199866351
826	0.7120530936	1.198937275
827	0.7120530936	1.198148819
828	0.7116249197	1.197425411
829	0.7114108328	1.196512871
830	0.7116249197	1.195400833
831	0.7118390066	1.195062657
832	0.7126953543	1.193927209
833	0.7126953543	1.192902329
834	0.7122671805	1.192054189
835	0.7122671805	1.191681637
836	0.713551702	1.190379867
837	0.7131235282	1.189382725
838	0.7126953543	1.188543955
839	0.7129094412	1.188228927
840	0.7131235282	1.187463679
841	0.7131235282	1.186864094
842	0.7139798758	1.186325486
843	0.7146221366	1.185354542
844	0.7139798758	1.184354189
845	0.7139798758	1.18338242
846	0.7137657889	1.182675299
847	0.7141939627	1.182065567
848	0.7146221366	1.18106798
849	0.7146221366	1.180113958
850	0.7150503104	1.179643939
851	0.7150503104	1.178823015
852	0.7150503104	1.178195665
853	0.7152643973	1.177828897
854	0.7152643973	1.177231706
855	0.7152643973	1.176872404
856	0.7156925712	1.175677991
857	0.7159066581	1.175333132
858	0.7156925712	1.174430361
859	0.716120745	1.174099333
860	0.7165489189	1.173179435
861	0.7165489189	1.172279396
862	0.7167630058	1.171733016
863	0.7169770927	1.171209783
864	0.7167630058	1.170587843
865	0.7171911796	1.169951623
866	0.7171911796	1.169616093
867	0.7182616142	1.16867957
868	0.7182616142	1.168083471
869	0.7180475273	1.167390396
870	0.7186897881	1.166911145
871	0.7182616142	1.166354961
872	0.7186897881	1.165690365
873	0.7182616142	1.164976459
874	0.7176193535	1.163962196
875	0.7186897881	1.162964114
876	0.7191179619	1.161912735
877	0.7191179619	1.160969644
878	0.7186897881	1.160462957
879	0.7195461357	1.159764745
880	0.7186897881	1.15908923
881	0.7193320488	1.158605953
882	0.7197602227	1.157909824
883	0.7204024834	1.157316925
884	0.7199743096	1.156268641
885	0.7206165703	1.155568724
886	0.7212588311	1.154850281
887	0.7216870049	1.153962697
888	0.7225433526	1.152873206
889	0.7225433526	1.152401756
890	0.7225433526	1.151703604
891	0.7223292657	1.151315401
892	0.7231856134	1.150800033
893	0.7231856134	1.149853063
894	0.7236137872	1.148647144
895	0.724256048	1.147931234
896	0.7244701349	1.147249488
897	0.7236137872	1.146470288
898	0.7248983087	1.145660786
899	0.7248983087	1.144846677
900	0.7253264826	1.144479448
901	0.7259687433	1.143429505
902	0.7261828302	1.142595424
903	0.7263969171	1.141903049
904	0.7266110041	1.141438524
